linha_produto,cod_item,desc_global,score,method
ATADURA GESSADA ORTOP BRANCO 15CM X 3M,87461,atadura gessada cysne 15cm x 3m  embalagem individual,0.79,fuzz_token_set
ATADURA GESSADA ORTOP BRANCO 20CM X 4M,88209,"atadura ortopedica algodao 10cmx1,8m ",0.65,fuzz_token_set
ATENOLOL (25MG COMPRIMIDO),86488,atenolol 25 mg com,0.97,fuzz_token_set
ATENOLOL (50MG COMPRIMIDO),86489,atenolol 50 mg com,0.97,fuzz_token_set
"ATENOLOL + ASSOCIACAO SOLIDO (50+12,5MG COMPRIMIDO)",86489,atenolol 50 mg com,0.91,fuzz_token_set
"ATENOLOL + CLORTALIDONA (25MG+12,5MG COMPRIMIDO SIMPLES)",86488,atenolol 25 mg com,0.8,fuzz_token_set
ATORVASTATINA (10MG COMPRIMIDO),86493,atorvastatina cálcica 40 mg com rev,0.87,fuzz_token_set
ATORVASTATINA (20MG COMPRIMIDO),86493,atorvastatina cálcica 40 mg com rev,0.87,fuzz_token_set
ATORVASTATINA (40MG COMPRIMIDO),86493,atorvastatina cálcica 40 mg com rev,0.87,fuzz_token_set
ATORVASTATINA (80MG COMPRIMIDO),86493,atorvastatina cálcica 40 mg com rev,0.87,fuzz_token_set
AVENTAL CIRURGICO EST EG C/PUNHO 50G SMS,84153,avental proced n/ cirurgico impermeavel polipropileno 50g/m² - manga longa c/ punho -não estéril ,0.84,fuzz_token_set
AVENTAL CIRURGICO EST G C/PUNHO 40G TNT,84153,avental proced n/ cirurgico impermeavel polipropileno 50g/m² - manga longa c/ punho -não estéril ,0.78,fuzz_token_set
AVENTAL CIRURGICO EST G C/PUNHO 50G SMS,84153,avental proced n/ cirurgico impermeavel polipropileno 50g/m² - manga longa c/ punho -não estéril ,0.85,fuzz_token_set
AVENTAL MANG LONG C/ELAST 20G TNT,84154,avental de tnt manga longa com punho 30g,0.77,fuzz_token_set
AVENTAL MANG LONG C/ELAST 20G TNT BRANCO,84154,avental de tnt manga longa com punho 30g,0.72,fuzz_token_set
AVENTAL MANG LONG C/ELAST 30G TNT BRANCO,84154,avental de tnt manga longa com punho 30g,0.75,fuzz_token_set
AVENTAL MANG LONG C/ELAST 40G TNT BRANCO,84154,avental de tnt manga longa com punho 30g,0.72,fuzz_token_set
AZACITIDINA (100MG PO LIOF SUS INJ SC FA) ,86500,azitromicina 500 mg po liof inj fa,0.74,fuzz_token_set
